target,model,mae,rmse,r2,mape
total_spend,Random Forest,68687.387268684,86684.1787178525,0.09654929213403751,88.63249036794247
total_spend,XGBoost,67328.57201133334,85472.96615937415,0.12162020811722318,85.89205453888403
total_spend,LightGBM,69069.88871347687,87277.22725469322,0.08414511576683059,86.72717176323752
electronics_spend,Random Forest,23645.49294978667,29464.1668616654,0.08076956783640221,245.36651717697592
electronics_spend,XGBoost,23149.142600914718,29057.17520314089,0.10598903162702988,245.54436826671923
electronics_spend,LightGBM,25196.26524659026,30626.92518008369,0.0067859414786048955,279.9302167496076
grocery_spend,Random Forest,26209.85996663867,32624.986865022907,0.09282166472990039,144.28829439403808
grocery_spend,XGBoost,25620.899230521158,32444.991566164485,0.10280403797223603,137.77456912182885
grocery_spend,LightGBM,25776.012053646024,32485.630980469286,0.10055504040206964,135.5880979777858
sports_spend,Random Forest,25620.976559668,32069.832352830388,0.09795666446056817,269.5369512472905
sports_spend,XGBoost,24622.93403720589,31485.004100536305,0.13055616701521033,254.43392198122226
sports_spend,LightGBM,25194.793056149825,32114.47890952157,0.09544332657144627,243.51187022278089
